"","Species","Stat","Mean","SD"
"1","ATLAPETES LATINUCHUS","p",0.1,0.03
"2","ATLAPETES LATINUCHUS","Phi",0.75,0.05
"3","BASILEUTERUS CORONATUS","p",0.1,0.02
"4","BASILEUTERUS CORONATUS","Phi",0.88,0.02
"5","BASILEUTERUS NIGROCRISTATUS","p",0.15,0.03
"6","BASILEUTERUS NIGROCRISTATUS","Phi",0.85,0.03
"7","BUARREMON TORQUATUS","p",0.11,0.02
"8","BUARREMON TORQUATUS","Phi",0.87,0.03
"9","CATAMENIA INORNATA","p",0.05,0.02
"10","CATAMENIA INORNATA","Phi",0.77,0.07
"11","CISTOTHORUS PLATENSIS","p",0.07,0.03
"12","CISTOTHORUS PLATENSIS","Phi",0.69,0.09
"13","COELIGENA IRIS","p",0.11,0.02
"14","COELIGENA IRIS","Phi",0.74,0.03
"15","DIGLOSSA HUMERALIS","p",0.1,0.02
"16","DIGLOSSA HUMERALIS","Phi",0.76,0.03
"17","DIGLOSSOPIS CYANEA","p",0.04,0.01
"18","DIGLOSSOPIS CYANEA","Phi",0.81,0.05
"19","ERIOCNEMIS LUCIANI","p",0.19,0.02
"20","ERIOCNEMIS LUCIANI","Phi",0.73,0.02
"21","GRALLARIA RUFULA","p",0.09,0.04
"22","GRALLARIA RUFULA","Phi",0.71,0.08
"23","HELIANGELUS VIOLA","p",0.07,0.04
"24","HELIANGELUS VIOLA","Phi",0.54,0.12
"25","HELLMAYREA GULARIS","p",0.22,0.05
"26","HELLMAYREA GULARIS","Phi",0.82,0.05
"27","LAFRESNAYA LAFRESNAYI","p",0.08,0.03
"28","LAFRESNAYA LAFRESNAYI","Phi",0.64,0.08
"29","MARGARORNIS SQUAMIGER","p",0.18,0.05
"30","MARGARORNIS SQUAMIGER","Phi",0.77,0.06
"31","METALLURA BARONI","p",0.11,0.03
"32","METALLURA BARONI","Phi",0.58,0.07
"33","METALLURA TYRIANTHINA","p",0.08,0.01
"34","METALLURA TYRIANTHINA","Phi",0.73,0.03
"35","MYIOBORUS MELANOCEPHALUS","p",0.05,0.01
"36","MYIOBORUS MELANOCEPHALUS","Phi",0.86,0.04
"37","OCHTHOECA FRONTALIS","p",0.09,0.02
"38","OCHTHOECA FRONTALIS","Phi",0.83,0.04
"39","SCYTALOPUS LATRANS","p",0.1,0.03
"40","SCYTALOPUS LATRANS","Phi",0.9,0.03
"41","SYNALLAXIS AZARAE","p",0.14,0.02
"42","SYNALLAXIS AZARAE","Phi",0.81,0.03
"43","TANGARA VASSORII","p",0.13,0.07
"44","TANGARA VASSORII","Phi",0.55,0.12
"45","TROGLODYTES SOLSTITIALIS","p",0.11,0.04
"46","TROGLODYTES SOLSTITIALIS","Phi",0.77,0.07
"47","ZONOTRICHIA CAPENSIS","p",0.06,0.02
"48","ZONOTRICHIA CAPENSIS","Phi",0.8,0.06
