"","Species","Stat","Mean","SD"
"1","ATLAPETES LATINUCHUS","p",0.1,0.03
"2","ATLAPETES LATINUCHUS","Phi (introduced)",0.78,0.06
"3","ATLAPETES LATINUCHUS","Phi (native)",0.51,0.18
"4","ATLAPETES LATINUCHUS","Phi (scrub)",0.67,0.1
"5","BASILEUTERUS CORONATUS","p",0.1,0.02
"6","BASILEUTERUS CORONATUS","Phi (introduced)",0.92,0.02
"7","BASILEUTERUS CORONATUS","Phi (native)",0.84,0.03
"8","BASILEUTERUS CORONATUS","Phi (scrub)",0.66,0.13
"9","BASILEUTERUS NIGROCRISTATUS","p",0.15,0.03
"10","BASILEUTERUS NIGROCRISTATUS","Phi (introduced)",0.88,0.03
"11","BASILEUTERUS NIGROCRISTATUS","Phi (native)",0.79,0.06
"12","BASILEUTERUS NIGROCRISTATUS","Phi (scrub)",0.83,0.06
"13","BUARREMON TORQUATUS","p",0.12,0.02
"14","BUARREMON TORQUATUS","Phi (introduced)",0.89,0.03
"15","BUARREMON TORQUATUS","Phi (native)",0.45,0.17
"16","BUARREMON TORQUATUS","Phi (scrub)",0.86,0.08
"17","CATAMENIA INORNATA","p",0.05,0.02
"18","CATAMENIA INORNATA","Phi (introduced)",0.44,0.27
"19","CATAMENIA INORNATA","Phi (scrub)",0.77,0.07
"20","CISTOTHORUS PLATENSIS","p",0.08,0.04
"21","CISTOTHORUS PLATENSIS","Phi (introduced)",0.76,0.17
"22","CISTOTHORUS PLATENSIS","Phi (scrub)",0.66,0.09
"23","COELIGENA IRIS","p",0.11,0.02
"24","COELIGENA IRIS","Phi (introduced)",0.77,0.04
"25","COELIGENA IRIS","Phi (native)",0.72,0.05
"26","COELIGENA IRIS","Phi (scrub)",0.6,0.08
"27","DIGLOSSA HUMERALIS","p",0.1,0.02
"28","DIGLOSSA HUMERALIS","Phi (introduced)",0.68,0.07
"29","DIGLOSSA HUMERALIS","Phi (native)",0.7,0.1
"30","DIGLOSSA HUMERALIS","Phi (scrub)",0.78,0.03
"31","DIGLOSSOPIS CYANEA","p",0.04,0.01
