"","Species","Stat","Mean","SD"
"1","ATLAPETES LATINUCHUS","p",0.1,0.03
"2","ATLAPETES LATINUCHUS","Phi",0.79,0.08
"3","ATLAPETES LATINUCHUS","Variance (logit)",1.53,2.52
"4","ATLAPETES LATINUCHUS","Variance (real)",0.03,0.04
"5","BASILEUTERUS CORONATUS","p",0.1,0.02
"6","BASILEUTERUS CORONATUS","Phi",0.89,0.03
"7","BASILEUTERUS CORONATUS","Variance (logit)",0.77,1.39
"8","BASILEUTERUS CORONATUS","Variance (real)",0,0.01
"9","BASILEUTERUS NIGROCRISTATUS","p",0.15,0.03
"10","BASILEUTERUS NIGROCRISTATUS","Phi",0.89,0.05
"11","BASILEUTERUS NIGROCRISTATUS","Variance (logit)",2,3.06
"12","BASILEUTERUS NIGROCRISTATUS","Variance (real)",0.01,0.01
"13","BUARREMON TORQUATUS","p",0.1,0.02
"14","BUARREMON TORQUATUS","Phi",0.89,0.04
"15","BUARREMON TORQUATUS","Variance (logit)",1.1,2.12
"16","BUARREMON TORQUATUS","Variance (real)",0.01,0.01
"17","CATAMENIA INORNATA","p",0.05,0.02
"18","CATAMENIA INORNATA","Phi",0.82,0.09
"19","CATAMENIA INORNATA","Variance (logit)",2.47,3.83
"20","CATAMENIA INORNATA","Variance (real)",0.03,0.07
"21","CISTOTHORUS PLATENSIS","p",0.07,0.03
"22","CISTOTHORUS PLATENSIS","Phi",0.71,0.18
"23","CISTOTHORUS PLATENSIS","Variance (logit)",12.76,6.76
"24","CISTOTHORUS PLATENSIS","Variance (real)",0.42,0.37
"25","COELIGENA IRIS","p",0.1,0.02
"26","COELIGENA IRIS","Phi",0.79,0.06
"27","COELIGENA IRIS","Variance (logit)",1.52,1.95
"28","COELIGENA IRIS","Variance (real)",0.03,0.03
"29","DIGLOSSA HUMERALIS","p",0.1,0.02
"30","DIGLOSSA HUMERALIS","Phi",0.78,0.04
"31","DIGLOSSA HUMERALIS","Variance (logit)",0.24,0.37
"32","DIGLOSSA HUMERALIS","Variance (real)",0.01,0.01
"33","DIGLOSSOPIS CYANEA","p",0.04,0.01
"34","DIGLOSSOPIS CYANEA","Phi",0.85,0.06
"35","DIGLOSSOPIS CYANEA","Variance (logit)",1.37,2.66
"36","DIGLOSSOPIS CYANEA","Variance (real)",0.01,0.03
"37","ERIOCNEMIS LUCIANI","p",0.19,0.02
"38","ERIOCNEMIS LUCIANI","Phi",0.78,0.05
"39","ERIOCNEMIS LUCIANI","Variance (logit)",1.34,1.25
"40","ERIOCNEMIS LUCIANI","Variance (real)",0.03,0.03
"41","GRALLARIA RUFULA","p",0.08,0.03
"42","GRALLARIA RUFULA","Phi",0.78,0.12
"43","GRALLARIA RUFULA","Variance (logit)",6.12,6.23
"44","GRALLARIA RUFULA","Variance (real)",0.13,0.2
"45","HELIANGELUS VIOLA","p",0.07,0.04
"46","HELIANGELUS VIOLA","Phi",0.59,0.19
"47","HELIANGELUS VIOLA","Variance (logit)",8.98,7.36
"48","HELIANGELUS VIOLA","Variance (real)",0.37,0.36
"49","HELLMAYREA GULARIS","p",0.21,0.05
"50","HELLMAYREA GULARIS","Phi",0.86,0.07
"51","HELLMAYREA GULARIS","Variance (logit)",2.27,3.64
"52","HELLMAYREA GULARIS","Variance (real)",0.02,0.04
"53","LAFRESNAYA LAFRESNAYI","p",0.07,0.03
"54","LAFRESNAYA LAFRESNAYI","Phi",0.67,0.1
"55","LAFRESNAYA LAFRESNAYI","Variance (logit)",1.03,2.21
"56","LAFRESNAYA LAFRESNAYI","Variance (real)",0.03,0.07
"57","MARGARORNIS SQUAMIGER","p",0.17,0.05
"58","MARGARORNIS SQUAMIGER","Phi",0.8,0.08
"59","MARGARORNIS SQUAMIGER","Variance (logit)",1.53,2.92
"60","MARGARORNIS SQUAMIGER","Variance (real)",0.02,0.05
"61","METALLURA BARONI","p",0.09,0.03
"62","METALLURA BARONI","Phi",0.69,0.15
"63","METALLURA BARONI","Variance (logit)",7.72,6.41
"64","METALLURA BARONI","Variance (real)",0.25,0.26
"65","METALLURA TYRIANTHINA","p",0.08,0.01
"66","METALLURA TYRIANTHINA","Phi",0.79,0.06
